scene_id,image_id,target_name,target_candidate_count,integrated_candidate_count,candidate_count_difference,target_top_instance,integrated_top_matched_instance,target_top_score,integrated_top_target_score,integrated_top_score,integrated_top_part_id,integrated_top_iou,top1_match,target_top1_in_integrated_top3,integrated_top1_in_target_top3,integrated_top1_in_target_top5,top3_overlap_count,top3_overlap_fraction,top5_overlap_count,top5_overlap_fraction,predicted_rank_of_target_top,reciprocal_rank,ndcg_at_3,ndcg_at_5,regret,false_positive_count_at_iou_threshold,missed_target_count_at_iou_threshold,mean_matched_iou_at_threshold,median_matched_iou_at_threshold
000000,000015,known_mask_ranker,31,33,2,18,18,0.9380331039428711,0.9380331039428711,0.9052461385726929,16,0.6604226705091258,1,1,1,1,3,1.0,3,0.6,1,1.0,1.0,0.9949775821002804,0.0,3,1,0.7458330536438059,0.7554869008745262
000000,000016,heuristic_dataset_masks,31,33,2,6,10,0.9660753127295321,0.9427826411295579,0.9269883632659912,16,0.8148742643124666,0,0,0,1,0,0.0,3,0.6,7,0.14285714285714285,0.9742212015969955,0.9824157711693444,0.02329267159997417,2,1,0.7614100941510498,0.7835897435897435
000000,000016,known_mask_ranker,31,33,2,1,10,0.9423869252204895,0.9396101236343384,0.9269883632659912,16,0.8148742643124666,0,0,0,1,1,0.3333333333333333,4,0.8,4,0.25,0.9940730781354337,0.996144323018184,0.002776801586151123,2,1,0.7614100941510498,0.7835897435897435
000000,000017,heuristic_dataset_masks,31,33,2,8,8,0.9758779301175418,0.9758779301175418,0.9094818830490112,16,0.7476635514018691,1,1,1,1,1,0.3333333333333333,3,0.6,1,1.0,0.9741689147117263,0.9776663550493906,0.0,2,0,0.7512852073241582,0.7602150537634409
000000,000017,known_mask_ranker,31,33,2,8,8,0.9396989345550537,0.9396989345550537,0.9094818830490112,16,0.7476635514018691,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9963287614446313,0.9921078467350875,0.0,2,0,0.7512852073241582,0.7602150537634409
000000,000018,heuristic_dataset_masks,31,34,3,18,2,0.9820489573153984,0.920987538991818,0.9307471513748169,16,0.7713239141810571,0,0,0,0,1,0.3333333333333333,3,0.6,14,0.07142857142857142,0.968350742216492,0.9727665394183166,0.061061418323580474,4,1,0.7556583441396676,0.7554966133610634
000000,000018,known_mask_ranker,31,34,3,18,2,0.9443226456642151,0.9350895285606384,0.9307471513748169,16,0.7713239141810571,0,0,0,0,0,0.0,2,0.4,14,0.07142857142857142,0.9941837529003168,0.9941836622197365,0.00923311710357666,4,1,0.7556583441396676,0.7554966133610634
000000,000019,heuristic_dataset_masks,31,33,2,6,10,0.9611251710139244,0.9269901207965815,0.9058573842048645,16,0.7766990291262136,0,0,0,0,0,0.0,2,0.4,9,0.1111111111111111,0.9733276952436369,0.9826089047266369,0.034135050217342866,3,1,0.7500643933497921,0.758446148662884
000000,000019,known_mask_ranker,31,33,2,6,10,0.9332242608070374,0.9186872839927673,0.9058573842048645,16,0.7766990291262136,0,0,0,0,0,0.0,3,0.6,9,0.1111111111111111,0.9858464553143413,0.9906246634569603,0.01453697681427002,3,1,0.7500643933497921,0.758446148662884
000000,000020,heuristic_dataset_masks,31,32,1,18,8,0.9790706764704855,0.9490931552931062,0.902280867099762,16,0.7492447129909365,0,1,1,1,2,0.6666666666666666,4,0.8,2,0.5,0.9922353948478985,0.994111722669679,0.029977521177379285,1,0,0.7448629895215586,0.7435770750988142
000000,000020,known_mask_ranker,31,32,1,18,8,0.9313962459564209,0.9293842315673828,0.902280867099762,16,0.7492447129909365,0,1,1,1,2,0.6666666666666666,4,0.8,2,0.5,0.9979870507590941,0.9980122897156594,0.002012014389038086,1,0,0.7448629895215586,0.7435770750988142
000000,000021,heuristic_dataset_masks,31,33,2,1,22,0.9658597743003385,0.9443240234742026,0.9354316592216492,16,0.7863205192211683,0,0,0,1,1,0.3333333333333333,4,0.8,4,0.25,0.9818044257903326,0.991217823247617,0.021535750826135902,4,2,0.7520600410202848,0.7504225352112676
000000,000021,known_mask_ranker,31,33,2,7,22,0.9437271952629089,0.9384666681289673,0.9354316592216492,16,0.7863205192211683,0,1,0,1,1,0.3333333333333333,4,0.8,3,0.3333333333333333,0.993412399420352,0.9973859866772126,0.00526052713394165,4,2,0.7520600410202848,0.7504225352112676
000000,000022,heuristic_dataset_masks,31,31,0,16,16,0.9771079978713829,0.9771079978713829,0.9081330895423889,16,0.7372335151214675,1,1,1,1,2,0.6666666666666666,2,0.4,1,1.0,0.9879071985246602,0.9745642328422222,0.0,0,0,0.7574168358902794,0.7762938230383973
000000,000022,known_mask_ranker,31,31,0,16,16,0.9327062368392944,0.9327062368392944,0.9081330895423889,16,0.7372335151214675,1,1,1,1,2,0.6666666666666666,2,0.4,1,1.0,0.9935758085663519,0.980175342472645,0.0,0,0,0.7574168358902794,0.7762938230383973
000000,000023,heuristic_dataset_masks,31,31,0,18,18,0.9819467192929551,0.9819467192929551,0.9183428287506104,16,0.6582890285161914,1,1,1,1,1,0.3333333333333333,2,0.4,1,1.0,0.9901064322528108,0.9893259363864833,0.0,1,1,0.7399434822547796,0.7488302278540621
000000,000023,known_mask_ranker,31,31,0,18,18,0.9374657869338989,0.9374657869338989,0.9183428287506104,16,0.6582890285161914,1,1,1,1,1,0.3333333333333333,3,0.6,1,1.0,0.9990169318756631,0.9940583796215333,0.0,1,1,0.7399434822547796,0.7488302278540621
000000,000024,heuristic_dataset_masks,31,32,1,6,1,0.9614804703507921,0.9498318546121758,0.9038060307502747,16,0.7359611231101512,0,0,1,1,1,0.3333333333333333,4,0.8,4,0.25,0.9891315942021572,0.9935445410818725,0.011648615738616308,3,2,0.7706176181009706,0.7737226277372263
000000,000024,known_mask_ranker,31,32,1,1,1,0.9305583834648132,0.9305583834648132,0.9038060307502747,16,0.7359611231101512,1,1,1,1,1,0.3333333333333333,4,0.8,1,1.0,0.9976746566751529,0.9976145105702194,0.0,3,2,0.7706176181009706,0.7737226277372263
000005,000000,heuristic_dataset_masks,29,30,1,22,4,0.9589901657835489,0.9133617648418711,0.9309418201446533,17,0.7663332623962545,0,0,0,1,2,0.6666666666666666,3,0.6,6,0.16666666666666666,0.975446342913458,0.9607312057973288,0.04562840094167775,1,0,0.716549233151241,0.7325700265794316
000005,000000,known_mask_ranker,29,30,1,22,4,0.948884129524231,0.9392913579940796,0.9309418201446533,17,0.7663332623962545,0,0,1,1,2,0.6666666666666666,3,0.6,6,0.16666666666666666,0.9923394141608031,0.9769355130714739,0.009592771530151367,1,0,0.716549233151241,0.7325700265794316
000005,000001,heuristic_dataset_masks,29,30,1,1,1,0.9580785232403635,0.9580785232403635,0.9106212258338928,17,0.814850071394574,1,1,1,1,2,0.6666666666666666,3,0.6,1,1.0,0.9853533711258758,0.970745942806583,0.0,2,2,0.7192893179228365,0.7111778872903641
000005,000001,known_mask_ranker,29,30,1,0,1,0.9450074434280396,0.9435880184173584,0.9106212258338928,17,0.814850071394574,0,0,1,1,2,0.6666666666666666,4,0.8,4,0.25,0.9935248532696366,0.9811226266230573,0.0014194250106811523,2,2,0.7192893179228365,0.7111778872903641
000005,000002,heuristic_dataset_masks,29,28,-1,3,3,0.9601538296226418,0.9601538296226418,0.9453818798065186,17,0.7324965679545009,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9978466032905192,0.99401694845465,0.0,0,1,0.7417872956491068,0.7529001321013311
000005,000002,known_mask_ranker,29,28,-1,3,3,0.9497737884521484,0.9497737884521484,0.9453818798065186,17,0.7324965679545009,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9976361640175717,0.9924111763670239,0.0,0,1,0.7417872956491068,0.7529001321013311
000005,000003,heuristic_dataset_masks,29,29,0,12,7,0.9543734880590423,0.9533422565406509,0.9437009692192078,17,0.7399540757749713,0,0,1,1,1,0.3333333333333333,3,0.6,6,0.16666666666666666,0.9795040879791211,0.9877965891702188,0.0010312315183914622,1,1,0.733030307565605,0.7441515661893725
000005,000003,known_mask_ranker,29,29,0,7,7,0.9477387070655823,0.9477387070655823,0.9437009692192078,17,0.7399540757749713,1,1,1,1,2,0.6666666666666666,3,0.6,1,1.0,0.9988937798398938,0.999096080197232,0.0,1,1,0.733030307565605,0.7441515661893725
000005,000004,heuristic_dataset_masks,29,28,-1,1,4,0.9841472120682402,0.9243614294473212,0.9224427938461304,17,0.6748244307299426,0,1,1,1,2,0.6666666666666666,3,0.6,2,0.5,0.9509757513628113,0.9611909428178563,0.05978578262091894,1,2,0.696518957502789,0.7091522731784793
000005,000004,known_mask_ranker,29,28,-1,1,4,0.9471396803855896,0.9379437565803528,0.9224427938461304,17,0.6748244307299426,0,1,1,1,2,0.6666666666666666,3,0.6,2,0.5,0.9697148306350863,0.9778916649971644,0.009195923805236816,1,2,0.696518957502789,0.7091522731784793
000005,000005,heuristic_dataset_masks,29,29,0,3,3,0.8409043795411726,0.8409043795411726,0.9379712343215942,17,0.7427898763978811,1,1,1,1,2,0.6666666666666666,3,0.6,1,1.0,0.9989397561210498,0.9833623625518622,0.0,1,1,0.7421504386859948,0.7421238675839064
000005,000005,known_mask_ranker,29,29,0,3,3,0.9423116445541382,0.9423116445541382,0.9379712343215942,17,0.7427898763978811,1,1,1,1,3,1.0,3,0.6,1,1.0,0.9997905173647536,0.9801696517029119,0.0,1,1,0.7421504386859948,0.7421238675839064
000005,000006,heuristic_dataset_masks,29,31,2,0,0,0.9419995541196559,0.9419995541196559,0.9010121822357178,17,0.794919168591224,1,1,1,1,1,0.3333333333333333,2,0.4,1,1.0,0.949631264139264,0.9591204395090064,0.0,3,1,0.7238493541595085,0.725167984053283
000005,000006,known_mask_ranker,29,31,2,0,0,0.9357228875160217,0.9357228875160217,0.9010121822357178,17,0.794919168591224,1,1,1,1,1,0.3333333333333333,2,0.4,1,1.0,0.9522728043367263,0.9651245945808317,0.0,3,1,0.7238493541595085,0.725167984053283
000005,000007,heuristic_dataset_masks,29,29,0,6,6,0.9548643817308762,0.9548643817308762,0.9286046028137207,17,0.7380903700674709,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9997498938841746,0.9875904272105182,0.0,2,2,0.7217389336700109,0.7234363225320272
000005,000007,known_mask_ranker,29,29,0,6,6,0.9318481683731079,0.9318481683731079,0.9286046028137207,17,0.7380903700674709,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9995453236546018,0.9909711719709382,0.0,2,2,0.7217389336700109,0.7234363225320272
000005,000008,heuristic_dataset_masks,29,29,0,22,7,0.9429593967566221,0.9345483682490774,0.9211399555206299,17,0.7254939945757458,0,0,0,1,1,0.3333333333333333,4,0.8,4,0.25,0.9884333839290254,0.9771486385501084,0.008411028507544716,1,1,0.7369065120500722,0.7331487956487956
000005,000008,known_mask_ranker,29,29,0,22,7,0.9326679110527039,0.9249762892723083,0.9211399555206299,17,0.7254939945757458,0,0,1,1,2,0.6666666666666666,4,0.8,4,0.25,0.9941329451675858,0.9814169739088567,0.007691621780395508,1,1,0.7369065120500722,0.7331487956487956
000005,000009,heuristic_dataset_masks,29,29,0,1,1,0.9860070277861692,0.9860070277861692,0.9343881607055664,17,0.8563056727613689,1,1,1,1,3,1.0,4,0.8,1,1.0,0.9988206459515129,0.9829550763974326,0.0,2,2,0.7332483429723154,0.7341846758349705
000005,000009,known_mask_ranker,29,29,0,1,1,0.9441549181938171,0.9441549181938171,0.9343881607055664,17,0.8563056727613689,1,1,1,1,3,1.0,4,0.8,1,1.0,0.9995172335086804,0.9833370459354489,0.0,2,2,0.7332483429723154,0.7341846758349705
000005,000010,heuristic_dataset_masks,29,28,-1,3,3,0.9566090674859696,0.9566090674859696,0.9443042874336243,17,0.6894968051118211,1,1,1,1,3,1.0,4,0.8,1,1.0,1.0,0.9939892707236794,0.0,0,1,0.7431440248506597,0.7539677574941595
000005,000010,known_mask_ranker,29,28,-1,4,3,0.9408724308013916,0.9276934862136841,0.9443042874336243,17,0.6894968051118211,0,1,1,1,3,1.0,4,0.8,3,0.3333333333333333,0.9967011660513456,0.9914699425643468,0.01317894458770752,0,1,0.7431440248506597,0.7539677574941595
000005,000011,heuristic_dataset_masks,29,30,1,12,7,0.9501541900332092,0.936818971636713,0.9222192764282227,17,0.7434731012658228,0,0,1,1,1,0.3333333333333333,3,0.6,9,0.1111111111111111,0.9837193502854199,0.9892002006908583,0.013335218396496207,2,1,0.7234454466308156,0.7300853567723483
000005,000011,known_mask_ranker,29,30,1,12,7,0.9324302673339844,0.9321209192276001,0.9222192764282227,17,0.7434731012658228,0,0,1,1,1,0.3333333333333333,4,0.8,9,0.1111111111111111,0.9903635352563865,0.9941522696705913,0.00030934810638427734,2,1,0.7234454466308156,0.7300853567723483
000005,000012,heuristic_dataset_masks,29,29,0,4,4,0.9612844653298789,0.9612844653298789,0.9183288216590881,17,0.7585345545378851,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9469951686402597,0.9688271494878976,0.0,2,2,0.723451282851793,0.7419354838709677
000005,000012,known_mask_ranker,29,29,0,4,4,0.9368793964385986,0.9368793964385986,0.9183288216590881,17,0.7585345545378851,1,1,1,1,2,0.6666666666666666,4,0.8,1,1.0,0.9541131467505929,0.9711677153592737,0.0,2,2,0.723451282851793,0.7419354838709677
000005,000013,heuristic_dataset_masks,29,29,0,22,4,0.956031015769768,0.9124171412173628,0.920313835144043,17,0.7709051724137931,0,0,1,1,1,0.3333333333333333,4,0.8,4,0.25,0.9289574898087903,0.967128792025901,0.043613874552405174,0,0,0.7316199165310653,0.7385607740374924
000005,000013,known_mask_ranker,29,29,0,22,4,0.9418402910232544,0.9360790848731995,0.920313835144043,17,0.7709051724137931,0,0,1,1,1,0.3333333333333333,4,0.8,4,0.25,0.954609845384098,0.9788864895656523,0.005761206150054932,0,0,0.7316199165310653,0.7385607740374924
